well,cell_ID,condition,serum,seeding_density,Nuclear_Area,DAPI
B11,OBJ1,IR,SS_0.5,0.5,1165,29050000
B11,OBJ2,IR,SS_0.5,0.5,1179,17830000
B11,OBJ3,IR,SS_0.5,0.5,625,8965000
B11,OBJ4,IR,SS_0.5,0.5,1682,40570000
B11,OBJ5,IR,SS_0.5,0.5,1203,17060000
B11,OBJ6,IR,SS_0.5,0.5,305,1661000
B11,OBJ7,IR,SS_0.5,0.5,669,9977000
B11,OBJ8,IR,SS_0.5,0.5,1290,21380000
B11,OBJ9,IR,SS_0.5,0.5,1193,22340000
B11,OBJ10,IR,SS_0.5,0.5,420,8414000
B11,OBJ11,IR,SS_0.5,0.5,1453,18010000
B11,OBJ12,IR,SS_0.5,0.5,1134,23170000
B11,OBJ13,IR,SS_0.5,0.5,1085,22080000
B11,OBJ14,IR,SS_0.5,0.5,1298,20820000
B11,OBJ15,IR,SS_0.5,0.5,688,11390000
B11,OBJ16,IR,SS_0.5,0.5,262,8851000
B11,OBJ17,IR,SS_0.5,0.5,278,15160000
B11,OBJ18,IR,SS_0.5,0.5,1335,10530000
B11,OBJ19,IR,SS_0.5,0.5,424,10310000
B11,OBJ20,IR,SS_0.5,0.5,719,10970000
B11,OBJ21,IR,SS_0.5,0.5,493,13470000
B11,OBJ22,IR,SS_0.5,0.5,650,10040000
B11,OBJ23,IR,SS_0.5,0.5,1406,22120000
B11,OBJ24,IR,SS_0.5,0.5,596,16980000
B11,OBJ25,IR,SS_0.5,0.5,2046,36060000
B11,OBJ26,IR,SS_0.5,0.5,683,9921000
B11,OBJ27,IR,SS_0.5,0.5,787,10160000
B11,OBJ28,IR,SS_0.5,0.5,508,19170000
B11,OBJ29,IR,SS_0.5,0.5,1450,19190000
B11,OBJ30,IR,SS_0.5,0.5,1561,21890000
B11,OBJ31,IR,SS_0.5,0.5,616,3756000
B11,OBJ32,IR,SS_0.5,0.5,959,6013000
B11,OBJ33,IR,SS_0.5,0.5,382,10860000
B11,OBJ34,IR,SS_0.5,0.5,581,9568000
B11,OBJ35,IR,SS_0.5,0.5,1215,20440000
B11,OBJ36,IR,SS_0.5,0.5,1710,17620000
B11,OBJ37,IR,SS_0.5,0.5,1253,31170000
B11,OBJ38,IR,SS_0.5,0.5,1085,13430000
B11,OBJ39,IR,SS_0.5,0.5,482,6121000
B11,OBJ40,IR,SS_0.5,0.5,374,11060000
B11,OBJ41,IR,SS_0.5,0.5,382,13830000
B11,OBJ42,IR,SS_0.5,0.5,200,1177000
B11,OBJ43,IR,SS_0.5,0.5,763,10660000
B11,OBJ44,IR,SS_0.5,0.5,1596,11560000
B11,OBJ45,IR,SS_0.5,0.5,883,21230000
B11,OBJ46,IR,SS_0.5,0.5,372,13810000
B11,OBJ47,IR,SS_0.5,0.5,1274,20180000
B11,OBJ48,IR,SS_0.5,0.5,952,20690000
